animal	DOB	sex	study	study2	DateStudy	Age	Rearing	Rearing2	Rearing3	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	ID	Age group
AJAX 3912	28491	M	2	2	01/04/2008	30	U	U	U	NA	NA	0	Video	Tool	6	0	6	AJAX 3912	3
AKIMEL 4152	29260	M	2	2	01/04/2008	28	N	N	C	NA	NA	0	Video	Tool	6	0	1	AKIMEL 4152	3
ALEX 5188	31412	M	2	2	01/04/2008	22	M	M	C	NA	NA	0	Video	Tool	6	0	5	ALEX 5188	3
ALLIE 5540	32622	F	2	2	01/04/2008	18	N	N	C	NA	NA	0	Video	Tool	0	0	0	ALLIE 5540	3
ALPHA 5066	30994	F	2	2	01/04/2008	23	M	M	C	NA	NA	0	Video	Tool	7	0	5	ALPHA 5066	3
ANGIE 3462	27395	F	2	2	01/04/2008	33	W	M	W	NA	NA	0	Video	Tool	5	0	1	ANGIE 3462	3
ARMOND 9728	31720	M	2	2	01/04/2008	21	U	U	U	NA	NA	0	Video	Tool	5	0	5	ARMOND 9728	3
APRIL 420	29341	F	2	2	01/04/2008	27	M	M	C	NA	NA	0	Video	Tool	4	0	2	APRIL 420	3
AUSTIN 5803	33608	M	2	2	01/04/2008	16	M	M	C	NA	NA	0	Video	Tool	5	0	2	AUSTIN 5803	3
BAHN 4523	30012	M	2	2	01/04/2008	26	M	M	C	NA	NA	0	Video	Tool	3	0	1	BAHN 4523	3
BART 5630	32955	M	2	2	01/04/2008	18	N	N	C	NA	NA	0	Video	Tool	2	0	2	BART 5630	3
BASHFUL 1768	24108	F	2	2	01/04/2008	42	W	M	W	NA	NA	0	Video	Tool	1	0	1	BASHFUL 1768	4
BECCA 5717	33280	F	2	2	01/04/2008	17	N	N	C	NA	NA	0	Video	Tool	5	0	2	BECCA 5717	3
BERNADETTE 3867	28539	F	2	2	01/04/2008	30	N	N	C	NA	NA	0	Video	Tool	8	0	2	BERNADETTE 3867	3
BERNIE 1929	24473	F	2	2	01/04/2008	41	W	M	W	NA	NA	0	Video	Tool	3	0	3	BERNIE 1929	4
BETA 6039	34508	F	2	2	01/04/2008	13	M	M	C	NA	NA	0	Video	Tool	5	0	4	BETA 6039	2
BETSY 1856	23743	F	2	2	01/04/2008	43	W	M	W	NA	NA	0	Video	Tool	3	0	3	BETSY 1856	4
BETTY 3440	27277	F	2	2	01/04/2008	33	M	M	C	0.538461538	0.153846154	1	Video	Tool	7	1	6	BETTY 3440	3
BILLY 5957	34136	M	2	2	01/04/2008	14	M	M	C	NA	NA	0	Video	Tool	6	0	4	BILLY 5957	2
BISCHK 5180	31388	F	2	2	01/04/2008	22	M	M	C	NA	NA	0	Video	Tool	1	0	0	BISCHK 5180	3
BO 5951	34105	M	2	2	01/04/2008	14	M	M	C	NA	NA	0	Video	Tool	5	0	4	BO 5951	2
BRENDA 2768	26299	F	2	2	01/04/2008	36	W	M	W	NA	NA	0	Video	Tool	4	0	4	BRENDA 2768	4
BRIA 6167	34942	F	2	2	01/04/2008	12	M	M	C	NA	NA	0	Video	Tool	6	0	4	BRIA 6167	2
BRUCE 3402	27365	M	2	2	01/04/2008	33	U	U	U	NA	NA	0	Video	Tool	0	0	0	BRUCE 3402	3
