animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
JAYME 4047	28997	F	1	01/03/2010	30	N	NA	NA	0	Video	Diet	0	0	0	N	JAYME 4047	3
JESSIE 5905	33988	F	1	01/03/2010	17	M	NA	NA	0	Video	Diet	5	0	3	M	JESSIE 5905	3
JOEY 3033	26299	M	1	01/03/2010	38	M	NA	NA	0	Video	Diet	6	0	5	W	JOEY 3033	4
JOSIE 5626	32936	F	1	01/03/2010	20	M	NA	NA	0	Video	Diet	5	0	1	M	JOSIE 5626	3
JOYCE 3865	28518	F	1	01/03/2010	32	U	NA	NA	0	Video	Diet	0	0	0	U	JOYCE 3865	3
JUDUMI 5676	33111	M	1	01/03/2010	19	N	1	0	1	Video	Diet	6	1	3	N	JUDUMI 5676	3
JUDY 2170	24838	F	1	01/03/2010	42	M	NA	NA	0	Video	Diet	5	0	4	W	JUDY 2170	4
JUNIE 2243	24108	F	1	01/03/2010	44	M	NA	NA	0	Video	Diet	1	0	1	W	JUNIE 2243	4
KAKAICHU 4305	29566	F	1	01/03/2010	29	M	1	0	1	Video	Diet	3	1	1	M	KAKAICHU 4305	3
KALIONI 4441	29863	M	1	01/03/2010	28	M	1	0	1	Video	Diet	6	1	3	M	KALIONI 4441	3
KAMPANI 5711	33266	F	1	01/03/2010	19	M	NA	NA	0	Video	Diet	1	0	0	M	KAMPANI 5711	3
KAREEM 6880	32512	M	1	01/03/2010	21	U	NA	NA	0	Video	Diet	2	0	2	U	KAREEM 6880	3
KARIN 1422	22647	F	1	01/03/2010	48	M	NA	NA	0	Video	Diet	3	0	3	W	KARIN 1422	4
KAYA 5679	33137	F	1	01/03/2010	19	N	NA	NA	0	Video	Diet	1	0	1	N	KAYA 5679	3
KEHG 4540	30071	M	1	01/03/2010	27	M	NA	NA	0	Video	Diet	3	0	1	M	KEHG 4540	3
KELLEY 2107	24108	F	1	01/03/2010	44	M	NA	NA	0	Video	Diet	5	0	4	W	KELLEY 2107	4
KENO 5753	33402	M	1	01/03/2010	18	N	1	0	1	Video	Diet	5	1	4	N	KENO 5753	3
KIA 5377	32035	F	1	01/03/2010	22	M	NA	NA	0	Video	Diet	1	0	0	M	KIA 5377	3
KIHT 5461	32361	F	1	01/03/2010	21	N	NA	NA	0	Video	Diet	5	0	2	N	KIHT 5461	3
KOBI 3020	26299	M	1	01/03/2010	38	M	1	0	1	Video	Diet	5	1	1	W	KOBI 3020	4
KROG 5823	33671	M	1	01/03/2010	17	M	NA	NA	0	Video	Diet	1	0	1	M	KROG 5823	3
KUDZU 4639	30292	M	1	01/03/2010	27	M	NA	NA	0	Video	Diet	5	0	4	M	KUDZU 4639	3
KUHTA 4162	29291	M	1	01/03/2010	29	M	1	0	1	Video	Diet	5	1	2	M	KUHTA 4162	3
KUKUI 5035	30796	M	1	01/03/2010	25	M	NA	NA	0	Video	Diet	2	0	1	M	KUKUI 5035	3
LACEY 3915	28605	F	1	01/03/2010	31	U	NA	NA	0	Video	Diet	2	0	2	U	LACEY 3915	3
LEXUS 6396	35849	F	1	01/03/2010	12	M	NA	NA	0	Video	Diet	6	0	5	M	LEXUS 6396	2
LULU 4510	29967	F	1	01/03/2010	28	M	NA	NA	0	Video	Diet	5	0	3	M	LULU 4510	3
LYLE 6427	36106	M	1	01/03/2010	11	M	NA	NA	0	Video	Diet	6	0	4	M	LYLE 6427	2
MAE 2242	23743	F	1	01/03/2010	45	M	NA	NA	0	Video	Diet	3	0	2	W	MAE 2242	4
MAGIC 5855	33809	M	1	01/03/2010	17	M	NA	NA	0	Video	Diet	7	0	5	M	MAGIC 5855	3
MAHI 5650	33034	F	1	01/03/2010	19	M	NA	NA	0	Video	Diet	3	0	1	M	MAHI 5650	3
MAHSHO 5480	32442	M	1	01/03/2010	21	M	NA	NA	0	Video	Diet	5	0	2	M	MAHSHO 5480	3
MAISHPA 4520	30007	F	1	01/03/2010	28	N	1	0	1	Video	Diet	4	1	1	N	MAISHPA 4520	3
MANDY 5062	30933	F	1	01/03/2010	25	M	NA	NA	0	Video	Diet	6	0	4	M	MANDY 5062	3
MARCUS 5789	33560	M	1	01/03/2010	18	M	NA	NA	0	Video	Diet	3	0	2	M	MARCUS 5789	3
MARTHA 2429	24108	F	1	01/03/2010	44	M	NA	NA	0	Video	Diet	9	0	6	W	MARTHA 2429	4
MARTIN 5883	33959	M	1	01/03/2010	17	M	NA	NA	0	Video	Diet	6	0	5	M	MARTIN 5883	3
MARY 1855	23743	F	1	01/03/2010	45	M	NA	NA	0	Video	Diet	7	0	4	W	MARY 1855	4
MAXI 5360	31978	F	1	01/03/2010	22	N	0	-1	0	Video	Diet	3	1	2	N	MAXI 5360	3
MAYNARD 2200	26299	M	1	01/03/2010	38	M	0	-1	0	Video	Diet	9	1	7	W	MAYNARD 2200	4
MICHON 4648	30314	F	1	01/03/2010	27	M	NA	NA	0	Video	Diet	6	0	5	M	MICHON 4648	3
MILONI 5050	30940	F	1	01/03/2010	25	M	NA	NA	0	Video	Diet	1	0	0	M	MILONI 5050	3
MISCHINI 5301	31778	F	1	01/03/2010	23	M	NA	NA	0	Video	Diet	1	0	0	M	MISCHINI 5301	3
MISTY 5042	30850	F	1	01/03/2010	25	U	NA	NA	0	Video	Diet	3	0	3	U	MISTY 5042	3
MONIQUE 5769	33480	F	1	01/03/2010	18	M	NA	NA	0	Video	Diet	4	0	4	M	MONIQUE 5769	3
MOOSE 2045	25569	M	1	01/03/2010	40	M	1	0	1	Video	Diet	10	1	7	W	MOOSE 2045	4
MUFFIN 4345	29676	F	1	01/03/2010	28	M	NA	NA	0	Video	Diet	5	0	4	M	MUFFIN 4345	3
NAHAGIO 4532	30037	F	1	01/03/2010	27	M	NA	NA	0	Video	Diet	3	0	1	M	NAHAGIO 4532	3
NAHJA 5664	33058	F	1	01/03/2010	19	N	NA	NA	0	Video	Diet	6	0	2	N	NAHJA 5664	3
NAHKO 5295	31731	M	1	01/03/2010	23	M	NA	NA	0	Video	Diet	2	0	0	M	NAHKO 5295	3
NICK 5432	32240	M	1	01/03/2010	21	M	NA	NA	0	Video	Diet	7	0	6	M	NICK 5432	3
NINA 4760	30654	F	1	01/03/2010	26	M	NA	NA	0	Video	Diet	4	0	4	M	NINA 4760	3
NOWI 4716	30448	M	1	01/03/2010	26	M	NA	NA	0	Video	Diet	4	0	2	M	NOWI 4716	3
OKI 5080	30999	F	1	01/03/2010	25	M	1	0	1	Video	Diet	4	1	1	M	OKI 5080	3
OREO 5315	31804	F	1	01/03/2010	23	N	NA	NA	0	Video	Diet	2	0	2	N	OREO 5315	3
OSCAR 5563	32702	M	1	01/03/2010	20	N	1	0	1	Video	Diet	3	1	2	N	OSCAR 5563	3
PACER 2957	25934	M	1	01/03/2010	39	M	NA	NA	0	Video	Diet	2	0	2	W	PACER 2957	4
PAHSTIHL 5221	31467	F	1	01/03/2010	24	N	NA	NA	0	Video	Diet	2	0	0	N	PAHSTIHL 5221	3
PATTI 2371	25204	F	1	01/03/2010	41	M	NA	NA	0	Video	Diet	2	0	2	W	PATTI 2371	4
PECOS 5421	32201	M	1	01/03/2010	22	M	NA	NA	0	Video	Diet	5	0	5	M	PECOS 5421	3
PEHGIA 5047	30860	F	1	01/03/2010	25	M	NA	NA	0	Video	Diet	1	0	0	M	PEHGIA 5047	3
PEPPER 2106	24473	F	1	01/03/2010	43	M	0	-1	0	Video	Diet	9	1	5	W	PEPPER 2106	4
PERRY 1549	23012	M	1	01/03/2010	47	M	NA	NA	0	Video	Diet	2	0	2	W	PERRY 1549	4
PIERRE 1844	22647	M	1	01/03/2010	48	M	NA	NA	0	Video	Diet	4	0	4	W	PIERRE 1844	4
PIMACH 5873	33936	M	1	01/03/2010	17	M	1	0	1	Video	Diet	4	1	1	M	PIMACH 5873	3
PIPLIN 6035	34484	M	1	01/03/2010	15	M	NA	NA	0	Video	Diet	2	0	0	M	PIPLIN 6035	2
POLLY 1756	24838	F	1	01/03/2010	42	M	NA	NA	0	Video	Diet	6	0	5	W	POLLY 1756	4
PRISSY 2430	24838	F	1	01/03/2010	42	M	NA	NA	0	Video	Diet	4	0	4	W	PRISSY 2430	4
PUNCH 4647	30313	M	1	01/03/2010	27	M	NA	NA	0	Video	Diet	6	0	4	M	PUNCH 4647	3
QUINCY 2721	25934	F	1	01/03/2010	39	M	0	-1	0	Video	Diet	6	1	2	W	QUINCY 2721	4
RADAR 5608	32887	M	1	01/03/2010	20	M	NA	NA	0	Video	Diet	7	0	4	M	RADAR 5608	3
REEUH 5294	31714	M	1	01/03/2010	23	M	NA	NA	0	Video	Diet	1	0	0	M	REEUH 5294	3
RHODA 1841	23012	F	1	01/03/2010	47	M	NA	NA	0	Video	Diet	2	0	1	W	RHODA 1841	4
ROGER 2246	25569	M	1	01/03/2010	40	M	NA	NA	0	Video	Diet	0	0	0	W	ROGER 2246	4
ROSIE 3459	27390	F	1	01/03/2010	35	U	NA	NA	0	Video	Diet	4	0	4	U	ROSIE 3459	4
ROXANNE 5681	33143	F	1	01/03/2010	19	M	NA	NA	0	Video	Diet	0	0	0	M	ROXANNE 5681	3
RUSTY 6176	34989	M	1	01/03/2010	14	M	NA	NA	0	Video	Diet	3	0	2	M	RUSTY 6176	2
SABRINA 2167	24838	F	1	01/03/2010	42	M	1	0	1	Video	Diet	3	1	1	W	SABRINA 2167	4
SAHBA 5666	33063	F	1	01/03/2010	19	M	NA	NA	0	Video	Diet	4	0	0	M	SAHBA 5666	3
SAMSON 5063	30939	M	1	01/03/2010	25	M	NA	NA	0	Video	Diet	5	0	4	M	SAMSON 5063	3
SANDY 3153	26299	F	1	01/03/2010	38	M	NA	NA	0	Video	Diet	7	0	6	W	SANDY 3153	4
SHAHEE 5645	33016	M	1	01/03/2010	19	M	1	0	1	Video	Diet	6	1	1	M	SHAHEE 5645	3
SIMBA 2724	25934	M	1	01/03/2010	39	M	1	0	1	Video	Diet	3	1	2	W	SIMBA 2724	4
SKEETER 3823	36330	M	1	01/03/2010	10	U	NA	NA	0	Video	Diet	4	0	4	U	SKEETER 3823	2
SIMON 2113	24838	M	1	01/03/2010	42	M	NA	NA	0	Video	Diet	4	0	4	W	SIMON 2113	4
SINDEE 6496	36330	F	1	01/03/2010	10	M	NA	NA	0	Video	Diet	6	0	4	M	SINDEE 6496	2
SOPHIE 5442	32289	F	1	01/03/2010	21	M	NA	NA	0	Video	Diet	6	0	5	M	SOPHIE 5442	3
SPARKY 5492	32479	M	1	01/03/2010	21	N	NA	NA	0	Video	Diet	0	0	0	N	SPARKY 5492	3
STAUN 5036	30829	M	1	01/03/2010	25	M	1	0	1	Video	Diet	3	1	1	M	STAUN 5036	3
SUHNA 5647	33028	F	1	01/03/2010	19	M	NA	NA	0	Video	Diet	3	0	1	M	SUHNA 5647	3
TABU 9703	33475	M	1	01/03/2010	18	M	NA	NA	0	Video	Diet	2	0	1	M	TABU 9703	3
TAFFY 9713	36396	F	1	01/03/2010	10	M	NA	NA	0	Video	Diet	0	0	0	M	TAFFY 9713	2
